Repeatid	Detected	Frequency
182168460	TRUE	0.00279329608938548
182168473	TRUE	0
182168492	TRUE	0
182168510	TRUE	0
182168514	TRUE	0
182168515	TRUE	0
182168536	TRUE	0
182168605	TRUE	0
182168625	TRUE	0
182168643	TRUE	0
182168656	TRUE	0
182168664	TRUE	0
182168700	TRUE	0
182168706	TRUE	0
182168711	TRUE	0
182168718	TRUE	0
182168741	TRUE	0
182168772	TRUE	0
182168818	TRUE	0
182168824	TRUE	0
182168843	TRUE	0
182168892	TRUE	0.441340782122905
182168973	TRUE	0
182169230	TRUE	0
182169334	TRUE	0
182169359	TRUE	0
182169368	TRUE	0
182169387	TRUE	0
182169402	TRUE	0
182169408	TRUE	0
182169611	TRUE	0
182169649	TRUE	0
182169684	TRUE	0
182170006	TRUE	0
182170010	TRUE	0
182170067	TRUE	0
182170404	TRUE	0
182170785	TRUE	0.0111731843575419
182170841	TRUE	0
182170936	TRUE	0
182170938	TRUE	0
182171242	TRUE	0
182171561	TRUE	0.00279329608938548
182171671	TRUE	0
182171673	TRUE	0
182171844	TRUE	0
182171872	TRUE	0
182171874	TRUE	0.134078212290503
182171875	TRUE	0
182172074	TRUE	0
182172092	TRUE	0
182172264	TRUE	0
182172512	TRUE	0
182172599	TRUE	0
182172633	TRUE	0.0279329608938548
182172697	TRUE	0
182172788	TRUE	0
182173008	TRUE	0
182173047	TRUE	0
182173064	TRUE	0
182173108	TRUE	0
182173136	TRUE	0
182173315	TRUE	0
182173318	TRUE	0
182173463	TRUE	0
182173490	TRUE	0.058659217877095
182173525	TRUE	0
182173679	TRUE	0.00558659217877095
182173717	TRUE	0
182173761	TRUE	0
182173781	TRUE	0
182173811	TRUE	0
182173821	TRUE	0
182173878	TRUE	0
182173941	TRUE	0
182174026	TRUE	0
182174046	TRUE	0
182174111	TRUE	0
182174221	TRUE	0.00558659217877095
182174491	TRUE	0
182174547	TRUE	0
182174559	TRUE	0
182174597	TRUE	0
182174649	TRUE	0
182174690	TRUE	0
182174739	TRUE	0.00558659217877095
182174900	TRUE	0.215083798882682
182174991	TRUE	0
182175043	TRUE	0
182175054	TRUE	0
182175060	TRUE	0
182175250	TRUE	0
182175251	TRUE	0
182175281	TRUE	0
182175317	TRUE	0
182175391	TRUE	0
182175433	TRUE	0
182175510	TRUE	0
182175534	TRUE	0
182175683	TRUE	0
182175694	TRUE	0
182175702	TRUE	0.00279329608938548
182175727	TRUE	0
182175754	TRUE	0
182175806	TRUE	0.444134078212291
182175871	TRUE	0
182175890	TRUE	0.00558659217877095
182175908	TRUE	0
182175937	TRUE	0.00279329608938548
182175971	TRUE	0
182176015	TRUE	0
182176027	TRUE	0
182176121	TRUE	0
182176146	TRUE	0
182176175	TRUE	0
182176195	TRUE	0
182176243	TRUE	0
182176253	TRUE	0
182176265	TRUE	0
182176323	TRUE	0
182176332	TRUE	0
182176454	TRUE	0
182176510	TRUE	0
182176531	TRUE	0
182176580	TRUE	0
182176583	TRUE	0
182176608	TRUE	0
182176614	TRUE	0
182176626	TRUE	0
182176692	TRUE	0
182176916	TRUE	0
182176917	TRUE	0
182176974	TRUE	0
182176997	TRUE	0
182177188	TRUE	0
182177212	TRUE	0
182177254	TRUE	0
182177290	TRUE	0
182177319	TRUE	0
182177323	TRUE	0
182177348	TRUE	0
182177362	TRUE	0
182177375	TRUE	0
182177391	TRUE	0
182177533	TRUE	0
182177636	TRUE	0
182177763	TRUE	0
182177851	TRUE	0
182177858	TRUE	0
182177863	TRUE	0
182177871	TRUE	0
182177887	TRUE	0
182177914	TRUE	0
182177924	TRUE	0
182177955	TRUE	0
182177956	TRUE	0
182177964	TRUE	0
182177968	TRUE	0
182177976	TRUE	0
182177979	TRUE	0
182178025	TRUE	0
182178056	TRUE	0
182178091	TRUE	0
182178138	TRUE	0
182178178	TRUE	0.0111731843575419
182178235	TRUE	0
182178317	TRUE	0
182178438	TRUE	0
182178460	TRUE	0
182178560	TRUE	0.0111731843575419
182178591	TRUE	0.00558659217877095
182178774	TRUE	0
182178852	TRUE	0
182178860	TRUE	0
182178896	TRUE	0
182178904	TRUE	0
182178990	TRUE	0
182179176	TRUE	0
182179300	TRUE	0
182179336	TRUE	0
182179399	TRUE	0
182179481	TRUE	0
182179571	TRUE	0
182179605	TRUE	0
182179665	TRUE	0.00279329608938548
182179726	TRUE	0
182179802	TRUE	0
182179866	TRUE	0
182179918	TRUE	0
182179931	TRUE	0
182180007	TRUE	0
182180059	TRUE	0
182180105	TRUE	0
182180190	TRUE	0.0279329608938548
182180209	TRUE	0
182180226	TRUE	0
182180232	TRUE	0
182180255	TRUE	0
182180273	TRUE	0
182180325	TRUE	0
182180364	TRUE	0
182180407	TRUE	0
182180421	TRUE	0
182180463	TRUE	0
182180466	TRUE	0
182180470	TRUE	0
182180479	TRUE	0
182180520	TRUE	0
182180547	TRUE	0
182180563	TRUE	0
182180598	TRUE	0.00279329608938548
182180610	TRUE	0.00279329608938548
182180616	TRUE	0
182180680	TRUE	0.00279329608938548
182180713	TRUE	0.00558659217877095
182180728	TRUE	0
182180764	TRUE	0
182180767	TRUE	0
182180770	TRUE	0
182180783	TRUE	0
182180806	TRUE	0
182180809	TRUE	0.0167597765363129
182180815	TRUE	0
182180833	TRUE	0
182180886	TRUE	0
182180913	TRUE	0
182180922	TRUE	0
182181015	TRUE	0
182181057	TRUE	0
182181154	TRUE	0
182181164	TRUE	0
182181233	TRUE	0
182181269	TRUE	0
182181281	TRUE	0
182181317	TRUE	0
182181363	TRUE	0
182181379	TRUE	0
182181449	TRUE	0
182181623	TRUE	0.00279329608938548
182181650	TRUE	0
182181737	TRUE	0
182181752	TRUE	0.00279329608938548
182181771	TRUE	0
182181792	TRUE	0
182181833	TRUE	0
182181837	TRUE	0
182181838	TRUE	0
182181902	TRUE	0
182182253	TRUE	0
182182374	TRUE	0
182182454	TRUE	0
182182457	TRUE	0
182182475	TRUE	0
182182480	TRUE	0.284916201117318
182182721	TRUE	0
182182888	TRUE	0
182183003	TRUE	0
182183006	TRUE	0
182183067	TRUE	0
182183127	TRUE	0
182183199	TRUE	0
182183237	TRUE	0
182183245	TRUE	0
182183247	TRUE	0
182183248	TRUE	0
182183351	TRUE	0
182183365	TRUE	0
182183438	TRUE	0
182183514	TRUE	0
182183550	TRUE	0
182183555	TRUE	0
182183589	TRUE	0
182183597	TRUE	0
182183621	TRUE	0
182183756	TRUE	0
182183790	TRUE	0
182183847	TRUE	0
182183888	TRUE	0
182183931	TRUE	0.0782122905027933
182183951	TRUE	0
182184072	TRUE	0
182184114	TRUE	0
182184237	TRUE	0
182184378	TRUE	0
182184475	TRUE	0
182184601	TRUE	0
182184726	TRUE	0
182185053	TRUE	0
182185127	TRUE	0
182185131	TRUE	0
182185376	TRUE	0
182185377	TRUE	0
182185510	TRUE	0
182185516	TRUE	0
182185587	TRUE	0
182185644	TRUE	0
182185676	TRUE	0.00279329608938548
182185850	TRUE	0
182185900	TRUE	0
182185914	TRUE	0
182185923	TRUE	0
182186048	TRUE	0
182186071	TRUE	0
182186139	TRUE	0
182186189	TRUE	0
182186190	TRUE	0
182186201	TRUE	0
182186267	TRUE	0
182186367	TRUE	0
182186507	TRUE	0
182186554	TRUE	0
182186614	TRUE	0
182186631	TRUE	0
182186679	TRUE	0
182186704	TRUE	0
182186709	TRUE	0
182186729	TRUE	0
182186857	TRUE	0
182186974	TRUE	0
182186994	TRUE	0
182187095	TRUE	0.00837988826815642
182187155	TRUE	0
182187170	TRUE	0
182187195	TRUE	0
182187209	TRUE	0
182187234	TRUE	0
182187294	TRUE	0
182187353	TRUE	0
182187381	TRUE	0
182187419	TRUE	0
182187434	TRUE	0.00558659217877095
182187522	TRUE	0
182187700	TRUE	0
182187712	TRUE	0.00558659217877095
182187846	TRUE	0
182187947	TRUE	0
182187956	TRUE	0
182187987	TRUE	0
182188238	TRUE	0
182188265	TRUE	0
182188320	TRUE	0
182188342	TRUE	0
182188482	TRUE	0
182188560	TRUE	0
182188563	TRUE	0
182188612	TRUE	0
182188622	TRUE	0
182188632	TRUE	0.00558659217877095
182188696	TRUE	0
182188739	TRUE	0
182188808	TRUE	0
182188994	TRUE	0
182189054	TRUE	0
182189079	TRUE	0
182189088	TRUE	0
182189105	TRUE	0
182189120	TRUE	0
182189173	TRUE	0
182189232	TRUE	0
182189235	TRUE	0
182189247	TRUE	0
182189361	TRUE	0.00837988826815642
182189435	TRUE	0
182189481	TRUE	0
182189593	TRUE	0
182189596	TRUE	0
182189656	TRUE	0
182189754	TRUE	0
182189898	TRUE	0
182189906	TRUE	0
182189909	TRUE	0
182189992	TRUE	0.00837988826815642
182190007	TRUE	0.00279329608938548
182190014	TRUE	0
182190026	TRUE	0
182190060	TRUE	0
182190104	TRUE	0
182190141	TRUE	0
182190157	TRUE	0
182190170	TRUE	0
182190174	TRUE	0
182190282	TRUE	0
182190482	TRUE	0
182190601	TRUE	0
182190630	TRUE	0
182190680	TRUE	0.00837988826815642
182190709	TRUE	0
182190806	TRUE	0
182190828	TRUE	0
182190847	TRUE	0
182190852	TRUE	0
182190863	TRUE	0.122905027932961
182190975	TRUE	0
182190981	TRUE	0
182191001	TRUE	0
182191077	TRUE	0
182191094	TRUE	0
182191104	TRUE	0
182191155	TRUE	0
182191259	TRUE	0
182191458	TRUE	0
182191621	TRUE	0
182191686	TRUE	0
182191931	TRUE	0
182192176	TRUE	0
182192215	TRUE	0
182192219	TRUE	0
182192235	TRUE	0
182192250	TRUE	0
182192261	TRUE	0
182192264	TRUE	0
182192270	TRUE	0
182192391	TRUE	0
182192497	TRUE	0
182192639	TRUE	0
182192663	TRUE	0
182192718	TRUE	0
182192729	TRUE	0
182192820	TRUE	0
182192822	TRUE	0
182192844	TRUE	0
182192848	TRUE	0
182192870	TRUE	0
182192879	TRUE	0
182192977	TRUE	0
182193015	TRUE	0
182193040	TRUE	0
182193063	TRUE	0
182193069	TRUE	0
182193122	TRUE	0
182193250	TRUE	0
182193263	TRUE	0
182193274	TRUE	0
182193343	TRUE	0
182193383	TRUE	0
182193431	TRUE	0
182193464	TRUE	0
182193522	TRUE	0
182193767	TRUE	0
182193840	TRUE	0
182193894	TRUE	0
182193906	TRUE	0.00279329608938548
182193910	TRUE	0
182193932	TRUE	0
182193934	TRUE	0.00558659217877095
182193955	TRUE	0
182194018	TRUE	0
182194064	TRUE	0
182194091	TRUE	0.00558659217877095
182194142	TRUE	0
182194154	TRUE	0
182194168	TRUE	0
182194186	TRUE	0
182194267	TRUE	0
182194275	TRUE	0
182194356	TRUE	0
182194385	TRUE	0
182194413	TRUE	0
182194416	TRUE	0
182194443	TRUE	0
182194449	TRUE	0
182194566	TRUE	0
182194574	TRUE	0
182194700	TRUE	0
182194762	TRUE	0
182194780	TRUE	0.00279329608938548
182194785	TRUE	0
182194805	TRUE	0.00279329608938548
182194946	TRUE	0.0865921787709497
182195191	TRUE	0
182195225	TRUE	0
182195281	TRUE	0.385474860335196
182195287	TRUE	0.00837988826815642
182195392	TRUE	0
182195397	TRUE	0.0111731843575419
182195433	TRUE	0
182195458	TRUE	0
182195474	TRUE	0
182195550	TRUE	0
182195620	TRUE	0
182195672	TRUE	0
182195782	TRUE	0
182195877	TRUE	0
182195880	TRUE	0
182195929	TRUE	0
182196040	TRUE	0
182196063	TRUE	0
182196065	TRUE	0
182196111	TRUE	0
182196181	TRUE	0
182196204	TRUE	0
182196283	TRUE	0
182196351	TRUE	0
182196385	TRUE	0
182196415	TRUE	0
182196452	TRUE	0
182196505	TRUE	0
182196541	TRUE	0
182196578	TRUE	0
182196619	TRUE	0.00558659217877095
182196715	TRUE	0
182196767	TRUE	0.00279329608938548
182196813	TRUE	0
182196817	TRUE	0
182196826	TRUE	0
182196957	TRUE	0
182196969	TRUE	0
182197019	TRUE	0
182197031	TRUE	0
182197138	TRUE	0
182197264	TRUE	0.00558659217877095
182197360	TRUE	0
182197386	TRUE	0
182197400	TRUE	0
182197411	TRUE	0
182197428	TRUE	0
182197594	TRUE	0
182197598	TRUE	0
182197605	TRUE	0
182197608	TRUE	0
182197626	TRUE	0.0139664804469274
182197632	TRUE	0
182197700	TRUE	0
182197787	TRUE	0
182197864	TRUE	0
182197866	TRUE	0
182197868	TRUE	0
182198035	TRUE	0
182198073	TRUE	0
182198233	TRUE	0
182198275	TRUE	0
182198336	TRUE	0
182198374	TRUE	0
182198394	TRUE	0
182198411	TRUE	0
182198414	TRUE	0
182198450	TRUE	0
182198494	TRUE	0
182198580	TRUE	0
182198608	TRUE	0
182198613	TRUE	0
182198634	TRUE	0
182198649	TRUE	0
182198747	TRUE	0
182198772	TRUE	0
182198784	TRUE	0
182198786	TRUE	0
182198882	TRUE	0
182198932	TRUE	0
182199034	TRUE	0
182199069	TRUE	0
182199087	TRUE	0
182199099	TRUE	0
182199113	TRUE	0
182199147	TRUE	0
182199155	TRUE	0
182199184	TRUE	0
182199218	TRUE	0
182199274	TRUE	0
182199286	TRUE	0
182199307	TRUE	0
182199312	TRUE	0
182199382	TRUE	0
182199392	TRUE	0
182199458	TRUE	0
182199464	TRUE	0
182199512	TRUE	0
182199525	TRUE	0
182199533	TRUE	0
182199539	TRUE	0
182199680	TRUE	0
182199736	TRUE	0
182199751	TRUE	0
182199767	TRUE	0
182199844	TRUE	0
182199906	TRUE	0
182199935	TRUE	0
182199951	TRUE	0
182200036	TRUE	0
182200101	TRUE	0
182200148	TRUE	0
182200160	TRUE	0
182200184	TRUE	0
182200191	TRUE	0
182200287	TRUE	0
182200294	TRUE	0
182200327	TRUE	0
182200348	TRUE	0.00558659217877095
182200413	TRUE	0
182200492	TRUE	0
182200539	TRUE	0
182200690	TRUE	0
182200692	TRUE	0
182200697	TRUE	0
182200720	TRUE	0
182200721	TRUE	0
182200739	TRUE	0
182200779	TRUE	0
182200804	TRUE	0
182200812	TRUE	0
182200814	TRUE	0
182200894	TRUE	0
182200936	TRUE	0
182201192	TRUE	0
182201193	TRUE	0
182201201	TRUE	0
182201259	TRUE	0
182201300	TRUE	0
182201310	TRUE	0
182201365	TRUE	0
182201367	TRUE	0
182201369	TRUE	0
182201429	TRUE	0
182201432	TRUE	0
182201455	TRUE	0
182201456	TRUE	0
182201460	TRUE	0
182201480	TRUE	0
182201485	TRUE	0
182201493	TRUE	0
182201582	TRUE	0
182201600	TRUE	0.167597765363128
182201636	TRUE	0
182201657	TRUE	0
182201686	TRUE	0.00558659217877095
182201785	TRUE	0
182201829	TRUE	0
182201834	TRUE	0
182201849	TRUE	0
182201933	TRUE	0
182201935	TRUE	0
182201953	TRUE	0
182202035	TRUE	0
182202094	TRUE	0
182202155	TRUE	0
182202162	TRUE	0.0139664804469274
182202221	TRUE	0
182202275	TRUE	0
182202365	TRUE	0
182202444	TRUE	0
182202465	TRUE	0
