chrom	start	end	size	missing	extra	gma	miss_normal	extr_normal	coverage	indis	multi
182227609	1	161440992	161441079	87	11	10	0.16	0.785714285714286	0.714285714285714	14	FALSE	FALSE
182227621	1	161448410	161448497	87	11	13	0.142857	0.785714285714286	0.928571428571429	14	FALSE	FALSE
182227630	1	161455791	161455878	87	11	10	0.16	0.785714285714286	0.714285714285714	14	FALSE	FALSE
182227641	1	161463201	161463288	87	12	13	0.107143	0.857142857142857	0.928571428571429	14	FALSE	FALSE
182227650	1	161470582	161470669	87	1	0	0.933333	0.0714285714285714	0	14	FALSE	FALSE
182227699	1	161575088	161575138	50	25	26	0.346154	0.490196078431373	0.509803921568627	51	FALSE	FALSE
182227722	1	161656928	161656978	50	26	25	0.337662	0.509803921568627	0.490196078431373	51	FALSE	FALSE
182501868	15	30103523	30103581	58	30	32	0.184211	0.697674418604651	0.744186046511628	43	FALSE	FALSE
182501982	15	30393679	30393737	58	32	33	0.155844	0.744186046511628	0.767441860465116	43	FALSE	FALSE
182502064	15	30572531	30572589	58	31	30	0.175676	0.720930232558139	0.697674418604651	43	FALSE	FALSE
182502876	15	32435015	32435073	58	31	28	0.180556	0.720930232558139	0.651162790697674	43	FALSE	FALSE
182537647	16	14921641	14921700	59	29	31	0.189189	0.69047619047619	0.738095238095238	42	FALSE	FALSE
182538548	16	16360321	16360380	59	29	30	0.191781	0.69047619047619	0.714285714285714	42	FALSE	FALSE
182539662	16	18391801	18391860	59	30	31	0.175676	0.714285714285714	0.738095238095238	42	FALSE	FALSE
182714961	2	95454741	95454801	60	18	20	0.387097	0.439024390243902	0.48780487804878	41	FALSE	FALSE
182715054	2	95621935	95621995	60	20	19	0.360656	0.48780487804878	0.463414634146341	41	FALSE	FALSE
182799024	21	6122403	6122453	50	27	24	0.328947	0.529411764705882	0.470588235294118	51	FALSE	FALSE
182799498	21	7798910	7798959	49	21	22	0.426667	0.403846153846154	0.423076923076923	52	FALSE	FALSE
182810047	21	34428923	34428972	49	22	21	0.418919	0.423076923076923	0.403846153846154	52	FALSE	FALSE
182814265	21	43415808	43415858	50	24	27	0.35443	0.470588235294118	0.529411764705882	51	FALSE	FALSE
183073101	6	58143985	58144043	58	23	20	0.328125	0.534883720930233	0.465116279069767	43	FALSE	FALSE
183073447	6	60897615	60897673	58	20	23	0.358209	0.465116279069767	0.534883720930233	43	FALSE	FALSE
183255144	9	39694581	39694638	57	30	37	0.182927	0.681818181818182	0.840909090909091	44	FALSE	FALSE
183256859	9	60776872	60776929	57	37	29	0.108108	0.840909090909091	0.659090909090909	44	FALSE	FALSE
183256865	9	60848295	60848349	54	22	25	0.356164	0.468085106382979	0.531914893617021	47	FALSE	FALSE
183256968	9	61123865	61123919	54	25	22	0.328571	0.531914893617021	0.468085106382979	47	FALSE	FALSE
183257523	9	62647781	62647838	57	34	32	0.142857	0.772727272727273	0.727272727272727	44	FALSE	FALSE
